SITE_NAME,PROJECT_NAME,START_USABLE_DATE_EST,END_USABLE_DATE_EST,Status
CB01,NEFSC_VA_202206_CB01,6/10/2022,12/27/2022,Processed Sucessfully
CB01,NEFSC_VA_202212_CB01,12/27/2022,6/7/2023,Processed Sucessfully
CB01,NEFSC_VA_202306_CB01,6/7/2023,11/24/2023,Processed Sucessfully
CB01,NEFSC_VA_202311_CB01,11/24/2023,5/22/2024,Processed Sucessfully
CB01,NEFSC_VA_202405_CB01,5/22/2024,11/8/2024,Processed Sucessfully
CB02,NEFSC_VA_202206_CB02,6/10/2022,12/27/2022,Processed Sucessfully
CB02,NEFSC_VA_202212_CB02,12/27/2022,2/22/2023,ERROR
CB02,NEFSC_VA_202303_CB02,3/20/2023,6/7/2023,Processed Sucessfully
CB02,NEFSC_VA_202306_CB02,6/7/2023,11/24/2023,Processed Sucessfully
CB02,NEFSC_VA_202311_CB02,11/24/2023,5/22/2024,Processed Sucessfully
CB02,NEFSC_VA_202405_CB02,5/22/2024,11/8/2024,Processed Sucessfully
CB03,NEFSC_VA_202206_CB03,6/10/2022,12/27/2022,Processed Sucessfully
CB03,NEFSC_VA_202212_CB03,12/27/2022,6/7/2023,Processed Sucessfully
CB03,NEFSC_VA_202306_CB03,6/7/2023,11/24/2023,Processed Sucessfully
CB03,NEFSC_VA_202311_CB03,11/24/2023,5/22/2024,ERROR
CB03,NEFSC_VA_202405_CB03,5/22/2024,11/8/2024,Processed Sucessfully
CB04,NEFSC_VA_202306_CB04,6/7/2023,11/24/2023,Omitted
CB04,NEFSC_VA_202311_CB04,11/24/2023,12/3/2023,Omitted
CB04,NFESC_VA_202405_CB04,5/22/2024,11/8/2024,Omitted
ES01,NEFSC_VA_202310_ES01,10/13/2023,4/8/2024,Processed Sucessfully
ES01,NEFSC_VA_202404_ES01,4/8/2024,9/29/2024,Processed Sucessfully
ES02,NEFSC_VA_202404_ES02,4/8/2024,9/29/2024,Processed Sucessfully
ES02,NEFSC_VA_202310_ES02,10/13/2023,4/8/2024,Processed Sucessfully
ES03,NEFSC_VA_202404_ES03,4/8/2024,9/29/2024,Processed Sucessfully
ES03,NEFSC_VA_202310_ES03,10/13/2023,4/8/2024,Processed Sucessfully
DB01,NEFSC_DE_202207_DB01,7/7/2022,1/11/2023,Processed Sucessfully
DB01,NEFSC_DE_202301_DB01,1/11/2023,6/16/2023,Processed Sucessfully
DB01,NEFSC_DE_202306_DB01,6/16/2023,11/15/2023,Processed Sucessfully
DB01,NEFSC_DE_202311_DB01,11/15/2023,5/1/2024,Processed Sucessfully
DB01,NEFSC_DE_202405_DB01,5/1/2024,11/4/2024,Processed Sucessfully
DB02,NEFSC_DE_202207_DB02,7/7/2022,1/11/2023,Processed Sucessfully
DB02,NEFSC_DE_202301_DB02,1/11/2023,6/16/2023,Processed Sucessfully
DB02,NEFSC_DE_202306_DB02,6/16/2023,11/15/2023,Processed Sucessfully
DB02,NEFSC_DE_202311_DB02,11/15/2023,5/1/2024,Processed Sucessfully
DB02,NEFSC_DE_202405_DB02,5/1/2024,11/4/2024,Processed Sucessfully
DB03,NEFSC_DE_202207_DB03,7/7/2022,1/11/2023,Processed Sucessfully
DB03,NEFSC_DE_202301_DB03,1/11/2023,6/16/2023,Processed Sucessfully
DB03,NEFSC_DE_202306_DB03,6/16/2023,11/15/2023,Processed Sucessfully
DB03,NEFSC_DE_202311_DB03,11/15/2023,5/1/2024,Processed Sucessfully
DB03,MEFSC_DE_202405_DB03,5/1/2024,11/4/2024,Processed Sucessfully
