"","Datetime_UTC","Internal_temp_C","Date"
"1","13-01-2023_03:42:59",9.3,"2023-01-13"
"2","13-01-2023_07:42:59",9.22,"2023-01-13"
"3","13-01-2023_11:42:59",9.3,"2023-01-13"
"4","13-01-2023_15:42:59",9.3,"2023-01-13"
"5","13-01-2023_19:42:59",9.3,"2023-01-13"
"6","13-01-2023_23:42:59",9.3,"2023-01-13"
"7","14-01-2023_03:42:59",9.13,"2023-01-14"
"8","14-01-2023_07:42:59",9.22,"2023-01-14"
"9","14-01-2023_11:42:59",9.05,"2023-01-14"
"10","14-01-2023_15:42:59",9.22,"2023-01-14"
"11","14-01-2023_19:42:59",9.3,"2023-01-14"
"12","14-01-2023_23:42:59",9.39,"2023-01-14"
"13","15-01-2023_03:42:59",9.47,"2023-01-15"
"14","15-01-2023_07:42:59",9.56,"2023-01-15"
"15","15-01-2023_11:42:59",9.47,"2023-01-15"
"16","15-01-2023_15:42:59",9.22,"2023-01-15"
"17","15-01-2023_19:42:59",9.13,"2023-01-15"
"18","15-01-2023_23:42:59",8.79,"2023-01-15"
"19","16-01-2023_03:42:59",8.54,"2023-01-16"
"20","16-01-2023_07:42:59",8.54,"2023-01-16"
"21","16-01-2023_11:42:59",8.37,"2023-01-16"
"22","16-01-2023_15:42:59",8.11,"2023-01-16"
"23","16-01-2023_19:42:59",7.77,"2023-01-16"
"24","16-01-2023_23:42:59",7.77,"2023-01-16"
"25","17-01-2023_03:42:59",7.6,"2023-01-17"
"26","17-01-2023_07:42:59",7.6,"2023-01-17"
"27","17-01-2023_11:42:59",7.51,"2023-01-17"
"28","17-01-2023_15:42:59",7.51,"2023-01-17"
"29","17-01-2023_19:42:59",7.51,"2023-01-17"
"30","17-01-2023_23:42:59",7.6,"2023-01-17"
"31","18-01-2023_03:42:59",7.6,"2023-01-18"
"32","18-01-2023_07:42:59",7.6,"2023-01-18"
"33","18-01-2023_11:42:59",7.6,"2023-01-18"
"34","18-01-2023_15:42:59",7.6,"2023-01-18"
"35","18-01-2023_19:42:59",7.77,"2023-01-18"
"36","18-01-2023_23:42:59",8.11,"2023-01-18"
"37","19-01-2023_03:42:59",8.11,"2023-01-19"
"38","19-01-2023_07:42:59",8.11,"2023-01-19"
"39","19-01-2023_11:42:59",8.11,"2023-01-19"
"40","19-01-2023_15:42:59",8.11,"2023-01-19"
"41","19-01-2023_19:42:59",8.11,"2023-01-19"
"42","19-01-2023_23:42:59",8.11,"2023-01-19"
"43","20-01-2023_03:42:59",8.2,"2023-01-20"
"44","20-01-2023_07:42:59",8.11,"2023-01-20"
"45","20-01-2023_11:42:59",8.11,"2023-01-20"
"46","20-01-2023_15:42:59",8.2,"2023-01-20"
"47","20-01-2023_19:42:59",8.03,"2023-01-20"
"48","20-01-2023_23:42:59",8.11,"2023-01-20"
"49","21-01-2023_03:42:59",8.11,"2023-01-21"
"50","21-01-2023_07:42:59",7.94,"2023-01-21"
"51","21-01-2023_11:42:59",7.85,"2023-01-21"
"52","21-01-2023_15:42:59",7.68,"2023-01-21"
"53","21-01-2023_19:42:59",7.51,"2023-01-21"
"54","21-01-2023_23:42:59",7.51,"2023-01-21"
"55","22-01-2023_03:42:59",7.42,"2023-01-22"
"56","22-01-2023_07:42:59",7.25,"2023-01-22"
"57","22-01-2023_11:42:59",7.25,"2023-01-22"
"58","22-01-2023_15:42:59",7.25,"2023-01-22"
"59","22-01-2023_19:42:59",7.16,"2023-01-22"
"60","22-01-2023_23:42:59",7.16,"2023-01-22"
"61","23-01-2023_03:42:59",7.25,"2023-01-23"
"62","23-01-2023_07:42:59",7.16,"2023-01-23"
"63","23-01-2023_11:42:59",7.16,"2023-01-23"
"64","23-01-2023_15:42:59",7.16,"2023-01-23"
"65","23-01-2023_19:42:59",7.08,"2023-01-23"
"66","23-01-2023_23:43:00",6.99,"2023-01-23"
"67","24-01-2023_03:43:00",6.99,"2023-01-24"
"68","24-01-2023_07:43:00",6.82,"2023-01-24"
"69","24-01-2023_11:43:00",6.82,"2023-01-24"
"70","24-01-2023_15:43:00",6.99,"2023-01-24"
"71","24-01-2023_19:43:00",6.9,"2023-01-24"
"72","24-01-2023_23:43:00",6.9,"2023-01-24"
"73","25-01-2023_03:43:00",6.9,"2023-01-25"
"74","25-01-2023_07:43:00",6.9,"2023-01-25"
"75","25-01-2023_11:43:00",6.82,"2023-01-25"
"76","25-01-2023_15:43:00",6.9,"2023-01-25"
"77","25-01-2023_19:43:00",6.99,"2023-01-25"
"78","25-01-2023_23:43:00",6.99,"2023-01-25"
"79","26-01-2023_03:43:00",7.16,"2023-01-26"
"80","26-01-2023_07:43:00",7.08,"2023-01-26"
"81","26-01-2023_11:43:00",6.99,"2023-01-26"
"82","26-01-2023_15:43:00",7.08,"2023-01-26"
"83","26-01-2023_19:43:00",7.08,"2023-01-26"
"84","26-01-2023_23:43:00",7.08,"2023-01-26"
"85","27-01-2023_03:43:00",7.08,"2023-01-27"
"86","27-01-2023_07:43:00",7.08,"2023-01-27"
"87","27-01-2023_11:43:00",6.99,"2023-01-27"
"88","27-01-2023_15:43:00",7.08,"2023-01-27"
"89","27-01-2023_19:43:00",7.25,"2023-01-27"
"90","27-01-2023_23:43:00",7.25,"2023-01-27"
"91","28-01-2023_03:43:00",7.42,"2023-01-28"
"92","28-01-2023_07:43:00",7.6,"2023-01-28"
"93","28-01-2023_11:43:00",7.51,"2023-01-28"
"94","28-01-2023_15:43:00",7.6,"2023-01-28"
"95","28-01-2023_19:43:00",7.6,"2023-01-28"
"96","28-01-2023_23:43:00",7.6,"2023-01-28"
"97","29-01-2023_03:43:00",7.51,"2023-01-29"
"98","29-01-2023_07:43:00",7.42,"2023-01-29"
"99","29-01-2023_11:43:00",7.42,"2023-01-29"
"100","29-01-2023_15:43:00",7.42,"2023-01-29"
"101","29-01-2023_19:43:00",7.42,"2023-01-29"
"102","29-01-2023_23:43:00",7.51,"2023-01-29"
"103","30-01-2023_03:43:00",7.51,"2023-01-30"
"104","30-01-2023_07:43:00",7.6,"2023-01-30"
"105","30-01-2023_11:43:00",7.6,"2023-01-30"
"106","30-01-2023_15:43:00",7.51,"2023-01-30"
"107","30-01-2023_19:43:00",7.6,"2023-01-30"
"108","30-01-2023_23:43:00",7.51,"2023-01-30"
"109","31-01-2023_03:43:00",7.6,"2023-01-31"
"110","31-01-2023_07:43:00",7.68,"2023-01-31"
"111","31-01-2023_11:43:00",7.68,"2023-01-31"
"112","31-01-2023_15:43:00",7.6,"2023-01-31"
"113","31-01-2023_19:43:00",7.51,"2023-01-31"
"114","31-01-2023_23:43:00",7.42,"2023-01-31"
"115","01-02-2023_03:43:00",7.25,"2023-02-01"
"116","01-02-2023_07:43:00",7.16,"2023-02-01"
"117","01-02-2023_11:43:00",7.08,"2023-02-01"
"118","01-02-2023_15:43:00",7.08,"2023-02-01"
"119","01-02-2023_19:43:00",6.99,"2023-02-01"
"120","01-02-2023_23:43:00",6.9,"2023-02-01"
"121","02-02-2023_03:43:00",6.82,"2023-02-02"
"122","02-02-2023_07:43:00",6.73,"2023-02-02"
"123","02-02-2023_11:43:00",6.73,"2023-02-02"
"124","02-02-2023_15:43:00",6.64,"2023-02-02"
"125","02-02-2023_19:43:00",6.64,"2023-02-02"
"126","02-02-2023_23:43:00",6.64,"2023-02-02"
"127","03-02-2023_03:43:00",6.56,"2023-02-03"
"128","03-02-2023_07:43:00",6.56,"2023-02-03"
"129","03-02-2023_11:43:00",6.47,"2023-02-03"
"130","03-02-2023_15:43:00",6.64,"2023-02-03"
"131","03-02-2023_19:43:00",6.47,"2023-02-03"
"132","03-02-2023_23:43:00",6.56,"2023-02-03"
"133","04-02-2023_03:43:00",6.56,"2023-02-04"
"134","04-02-2023_07:43:00",6.56,"2023-02-04"
"135","04-02-2023_11:43:00",6.47,"2023-02-04"
"136","04-02-2023_15:43:00",6.38,"2023-02-04"
"137","04-02-2023_19:43:00",6.38,"2023-02-04"
"138","04-02-2023_23:43:01",6.38,"2023-02-04"
"139","05-02-2023_03:43:01",6.38,"2023-02-05"
"140","05-02-2023_07:43:01",6.47,"2023-02-05"
"141","05-02-2023_11:43:01",6.3,"2023-02-05"
"142","05-02-2023_15:43:01",6.73,"2023-02-05"
"143","05-02-2023_19:43:01",6.82,"2023-02-05"
"144","05-02-2023_23:43:01",6.99,"2023-02-05"
"145","06-02-2023_03:43:01",7.16,"2023-02-06"
"146","06-02-2023_07:43:01",7.08,"2023-02-06"
