"","Datetime_UTC","Internal_temp_C","Date"
"1","05-03-2024_02:11:01",6.82,2024-05-03
"2","05-03-2024_06:11:01",6.82,2024-05-03
"3","05-03-2024_10:11:01",6.82,2024-05-03
"4","05-03-2024_14:11:01",6.82,2024-05-03
"5","05-03-2024_18:11:01",6.73,2024-05-03
"6","05-03-2024_22:11:01",6.73,2024-05-03
"7","05-04-2024_02:11:01",6.73,2024-05-04
"8","05-04-2024_06:11:01",6.73,2024-05-04
"9","05-04-2024_10:11:01",6.82,2024-05-04
"10","05-04-2024_14:11:01",6.9,2024-05-04
"11","05-04-2024_18:11:01",6.9,2024-05-04
"12","05-04-2024_22:11:01",6.99,2024-05-04
"13","05-05-2024_02:11:01",6.99,2024-05-05
"14","05-05-2024_06:11:01",7.34,2024-05-05
"15","05-05-2024_10:11:01",7.42,2024-05-05
"16","05-05-2024_14:11:01",7.42,2024-05-05
"17","05-05-2024_18:11:01",7.42,2024-05-05
"18","05-05-2024_22:11:01",7.42,2024-05-05
"19","05-06-2024_02:11:01",7.42,2024-05-06
"20","05-06-2024_06:11:01",7.42,2024-05-06
"21","05-06-2024_10:11:01",7.42,2024-05-06
"22","05-06-2024_14:11:01",7.42,2024-05-06
"23","05-06-2024_18:11:01",7.42,2024-05-06
"24","05-06-2024_22:11:01",7.42,2024-05-06
"25","05-07-2024_02:11:01",7.42,2024-05-07
"26","05-07-2024_06:11:01",7.42,2024-05-07
"27","05-07-2024_10:11:01",7.51,2024-05-07
"28","05-07-2024_14:11:01",7.34,2024-05-07
"29","05-07-2024_18:11:01",7.42,2024-05-07
"30","05-07-2024_22:11:01",7.42,2024-05-07
"31","05-08-2024_02:11:01",7.34,2024-05-08
"32","05-08-2024_06:11:01",7.42,2024-05-08
"33","05-08-2024_10:11:01",7.42,2024-05-08
"34","05-08-2024_14:11:01",7.42,2024-05-08
"35","05-08-2024_18:11:01",7.42,2024-05-08
"36","05-08-2024_22:11:01",7.42,2024-05-08
"37","05-09-2024_02:11:01",7.34,2024-05-09
"38","05-09-2024_06:11:01",7.42,2024-05-09
"39","05-09-2024_10:11:01",7.42,2024-05-09
"40","05-09-2024_14:11:01",7.34,2024-05-09
"41","05-09-2024_18:11:01",7.42,2024-05-09
"42","05-09-2024_22:11:01",7.42,2024-05-09
"43","05-10-2024_02:11:01",7.34,2024-05-10
"44","05-10-2024_06:11:01",7.42,2024-05-10
"45","05-10-2024_10:11:01",7.51,2024-05-10
"46","05-10-2024_14:11:01",7.34,2024-05-10
"47","05-10-2024_18:11:01",7.34,2024-05-10
"48","05-10-2024_22:11:01",7.42,2024-05-10
"49","05-11-2024_02:11:01",7.42,2024-05-11
"50","05-11-2024_06:11:01",7.6,2024-05-11
"51","05-11-2024_10:11:01",7.68,2024-05-11
"52","05-11-2024_14:11:01",7.77,2024-05-11
"53","05-11-2024_18:11:01",7.77,2024-05-11
"54","05-11-2024_22:11:01",7.94,2024-05-11
"55","05-12-2024_02:11:01",7.85,2024-05-12
"56","05-12-2024_06:11:01",7.94,2024-05-12
"57","05-12-2024_10:11:01",7.77,2024-05-12
"58","05-12-2024_14:11:01",7.6,2024-05-12
"59","05-12-2024_18:11:01",7.6,2024-05-12
"60","05-12-2024_22:11:01",7.68,2024-05-12
"61","05-13-2024_02:11:01",7.77,2024-05-13
"62","05-13-2024_06:11:01",7.6,2024-05-13
"63","05-13-2024_10:11:01",7.68,2024-05-13
"64","05-13-2024_14:11:01",7.68,2024-05-13
"65","05-13-2024_18:11:01",7.6,2024-05-13
"66","05-13-2024_22:11:01",7.68,2024-05-13
"67","05-14-2024_02:11:01",7.68,2024-05-14
"68","05-14-2024_06:11:02",7.51,2024-05-14
"69","05-14-2024_10:11:02",7.6,2024-05-14
"70","05-14-2024_14:11:02",7.51,2024-05-14
"71","05-14-2024_18:11:02",7.51,2024-05-14
"72","05-14-2024_22:11:02",7.6,2024-05-14
"73","05-15-2024_02:11:02",7.51,2024-05-15
"74","05-15-2024_06:11:02",7.51,2024-05-15
"75","05-15-2024_10:11:02",7.6,2024-05-15
"76","05-15-2024_14:11:02",7.6,2024-05-15
"77","05-15-2024_18:11:02",7.68,2024-05-15
"78","05-15-2024_22:11:02",7.85,2024-05-15
"79","05-16-2024_02:11:02",7.77,2024-05-16
"80","05-16-2024_06:11:02",7.68,2024-05-16
"81","05-16-2024_10:11:02",7.68,2024-05-16
"82","05-16-2024_14:11:02",7.94,2024-05-16
"83","05-16-2024_18:11:02",7.6,2024-05-16
"84","05-16-2024_22:11:02",7.6,2024-05-16
"85","05-17-2024_02:11:02",8.28,2024-05-17
"86","05-17-2024_06:11:02",8.54,2024-05-17
"87","05-17-2024_10:11:02",9.22,2024-05-17
"88","05-17-2024_14:11:02",9.13,2024-05-17
"89","05-17-2024_18:11:02",8.88,2024-05-17
"90","05-17-2024_22:11:02",8.96,2024-05-17
"91","05-18-2024_02:11:02",9.22,2024-05-18
"92","05-18-2024_06:11:02",9.3,2024-05-18
"93","05-18-2024_10:11:02",9.13,2024-05-18
"94","05-18-2024_14:11:02",8.96,2024-05-18
"95","05-18-2024_18:11:02",9.13,2024-05-18
"96","05-18-2024_22:11:02",9.13,2024-05-18
"97","05-19-2024_02:11:02",9.3,2024-05-19
"98","05-19-2024_06:11:02",9.47,2024-05-19
"99","05-19-2024_10:11:02",9.47,2024-05-19
"100","05-19-2024_14:11:02",9.47,2024-05-19
"101","05-19-2024_18:11:02",9.56,2024-05-19
"102","05-19-2024_22:11:02",9.47,2024-05-19
"103","05-20-2024_02:11:02",9.64,2024-05-20
