"","Datetime_UTC","Internal_temp_C","Date"
"1","15-10-2023_01:48:23",18.19,"2023-10-15"
"2","15-10-2023_05:48:23",18.77,"2023-10-15"
"3","15-10-2023_09:48:24",18.69,"2023-10-15"
"4","15-10-2023_13:48:24",17.94,"2023-10-15"
"5","15-10-2023_17:48:24",19.18,"2023-10-15"
"6","15-10-2023_21:48:24",18.52,"2023-10-15"
"7","16-10-2023_01:48:24",18.77,"2023-10-16"
"8","16-10-2023_05:48:24",18.36,"2023-10-16"
"9","16-10-2023_09:48:24",18.27,"2023-10-16"
"10","16-10-2023_13:48:24",18.27,"2023-10-16"
"11","16-10-2023_17:48:24",17.86,"2023-10-16"
"12","16-10-2023_21:48:24",18.11,"2023-10-16"
"13","17-10-2023_01:48:24",18.36,"2023-10-17"
"14","17-10-2023_05:48:24",18.19,"2023-10-17"
"15","17-10-2023_09:48:24",18.11,"2023-10-17"
"16","17-10-2023_13:48:24",18.02,"2023-10-17"
"17","17-10-2023_17:48:24",18.02,"2023-10-17"
"18","17-10-2023_21:48:24",18.27,"2023-10-17"
"19","18-10-2023_01:48:24",18.36,"2023-10-18"
"20","18-10-2023_05:48:24",18.27,"2023-10-18"
"21","18-10-2023_09:48:24",18.19,"2023-10-18"
"22","18-10-2023_13:48:24",18.36,"2023-10-18"
"23","18-10-2023_17:48:24",18.02,"2023-10-18"
"24","18-10-2023_21:48:24",17.53,"2023-10-18"
"25","19-10-2023_01:48:24",18.11,"2023-10-19"
"26","19-10-2023_05:48:24",18.02,"2023-10-19"
"27","19-10-2023_09:48:24",17.94,"2023-10-19"
"28","19-10-2023_13:48:24",18.19,"2023-10-19"
"29","19-10-2023_17:48:24",18.44,"2023-10-19"
"30","19-10-2023_21:48:24",18.44,"2023-10-19"
"31","20-10-2023_01:48:24",18.44,"2023-10-20"
"32","20-10-2023_05:48:24",18.52,"2023-10-20"
"33","20-10-2023_09:48:24",18.44,"2023-10-20"
"34","20-10-2023_13:48:24",18.44,"2023-10-20"
"35","20-10-2023_17:48:24",19.27,"2023-10-20"
"36","20-10-2023_21:48:24",18.93,"2023-10-20"
"37","21-10-2023_01:48:24",19.6,"2023-10-21"
"38","21-10-2023_05:48:24",19.68,"2023-10-21"
"39","21-10-2023_09:48:24",19.68,"2023-10-21"
"40","21-10-2023_13:48:24",19.6,"2023-10-21"
"41","21-10-2023_17:48:24",19.68,"2023-10-21"
"42","21-10-2023_21:48:24",19.76,"2023-10-21"
"43","22-10-2023_01:48:24",19.51,"2023-10-22"
"44","22-10-2023_05:48:24",19.6,"2023-10-22"
"45","22-10-2023_09:48:24",19.6,"2023-10-22"
"46","22-10-2023_13:48:24",19.76,"2023-10-22"
"47","22-10-2023_17:48:24",20.01,"2023-10-22"
"48","22-10-2023_21:48:24",20.26,"2023-10-22"
"49","23-10-2023_01:48:24",19.85,"2023-10-23"
"50","23-10-2023_05:48:24",19.18,"2023-10-23"
"51","23-10-2023_09:48:24",19.02,"2023-10-23"
"52","23-10-2023_13:48:24",18.93,"2023-10-23"
"53","23-10-2023_17:48:24",19.02,"2023-10-23"
"54","23-10-2023_21:48:24",19.02,"2023-10-23"
"55","24-10-2023_01:48:24",19.02,"2023-10-24"
"56","24-10-2023_05:48:24",19.1,"2023-10-24"
"57","24-10-2023_09:48:24",18.93,"2023-10-24"
