"","Datetime_UTC","Internal_temp_C","Date"
"1","11-26-2023_00:45:46",13.07,2023-11-26
"2","11-26-2023_04:45:46",13.07,2023-11-26
"3","11-26-2023_08:45:46",12.99,2023-11-26
"4","11-26-2023_12:45:46",12.9,2023-11-26
"5","11-26-2023_16:45:46",12.99,2023-11-26
"6","11-26-2023_20:45:46",12.99,2023-11-26
"7","11-27-2023_00:45:46",12.9,2023-11-27
"8","11-27-2023_04:45:46",12.99,2023-11-27
"9","11-27-2023_08:45:46",12.9,2023-11-27
"10","11-27-2023_12:45:46",12.9,2023-11-27
"11","11-27-2023_16:45:46",12.9,2023-11-27
"12","11-27-2023_20:45:46",12.9,2023-11-27
"13","11-28-2023_00:45:46",12.82,2023-11-28
"14","11-28-2023_04:45:46",12.9,2023-11-28
"15","11-28-2023_08:45:46",12.82,2023-11-28
"16","11-28-2023_12:45:46",12.82,2023-11-28
"17","11-28-2023_16:45:46",12.74,2023-11-28
"18","11-28-2023_20:45:46",12.74,2023-11-28
"19","11-29-2023_00:45:46",12.66,2023-11-29
"20","11-29-2023_04:45:46",12.57,2023-11-29
"21","11-29-2023_08:45:46",12.49,2023-11-29
"22","11-29-2023_12:45:46",12.32,2023-11-29
"23","11-29-2023_16:45:46",12.41,2023-11-29
"24","11-29-2023_20:45:46",12.41,2023-11-29
"25","11-30-2023_00:45:46",12.49,2023-11-30
"26","11-30-2023_04:45:46",12.41,2023-11-30
"27","11-30-2023_08:45:46",12.41,2023-11-30
"28","11-30-2023_12:45:46",12.41,2023-11-30
"29","11-30-2023_16:45:46",12.49,2023-11-30
"30","11-30-2023_20:45:46",12.41,2023-11-30
"31","12-01-2023_00:45:46",12.41,2023-12-01
"32","12-01-2023_04:45:46",12.41,2023-12-01
"33","12-01-2023_08:45:46",12.41,2023-12-01
"34","12-01-2023_12:45:46",12.49,2023-12-01
"35","12-01-2023_16:45:46",12.49,2023-12-01
"36","12-01-2023_20:45:46",12.57,2023-12-01
"37","12-02-2023_00:45:46",12.57,2023-12-02
"38","12-02-2023_04:45:46",12.66,2023-12-02
"39","12-02-2023_08:45:46",12.66,2023-12-02
"40","12-02-2023_12:45:46",12.66,2023-12-02
"41","12-02-2023_16:45:46",12.66,2023-12-02
"42","12-02-2023_20:45:46",12.74,2023-12-02
"43","12-03-2023_00:45:46",12.74,2023-12-03
"44","12-03-2023_04:45:46",12.74,2023-12-03
"45","12-03-2023_08:45:46",12.74,2023-12-03
"46","12-03-2023_12:45:46",12.74,2023-12-03
"47","12-03-2023_16:45:46",12.66,2023-12-03
"48","12-03-2023_20:45:46",12.66,2023-12-03
"49","12-04-2023_00:45:46",12.66,2023-12-04
"50","12-04-2023_04:45:46",12.74,2023-12-04
"51","12-04-2023_08:45:46",12.66,2023-12-04
"52","12-04-2023_12:45:46",12.57,2023-12-04
"53","12-04-2023_16:45:46",12.49,2023-12-04
"54","12-04-2023_20:45:46",12.49,2023-12-04
"55","12-05-2023_00:45:46",12.57,2023-12-05
"56","12-05-2023_04:45:46",12.49,2023-12-05
"57","12-05-2023_08:45:46",12.41,2023-12-05
"58","12-05-2023_12:45:46",12.24,2023-12-05
"59","12-05-2023_16:45:46",12.24,2023-12-05
"60","12-05-2023_20:45:46",12.24,2023-12-05
"61","12-06-2023_00:45:46",12.24,2023-12-06
"62","12-06-2023_04:45:46",12.16,2023-12-06
"63","12-06-2023_08:45:46",12.07,2023-12-06
"64","12-06-2023_12:45:46",12.07,2023-12-06
"65","12-06-2023_16:45:46",12.07,2023-12-06
"66","12-06-2023_20:45:46",12.07,2023-12-06
"67","12-07-2023_00:45:46",11.99,2023-12-07
"68","12-07-2023_04:45:46",11.99,2023-12-07
"69","12-07-2023_08:45:46",11.82,2023-12-07
"70","12-07-2023_12:45:46",11.74,2023-12-07
"71","12-07-2023_16:45:47",11.66,2023-12-07
"72","12-07-2023_20:45:47",11.66,2023-12-07
"73","12-08-2023_00:45:47",11.66,2023-12-08
"74","12-08-2023_04:45:47",11.57,2023-12-08
"75","12-08-2023_08:45:47",11.57,2023-12-08
"76","12-08-2023_12:45:47",11.49,2023-12-08
"77","12-08-2023_16:45:47",11.49,2023-12-08
"78","12-08-2023_20:45:47",11.49,2023-12-08
"79","12-09-2023_00:45:47",11.49,2023-12-09
"80","12-09-2023_04:45:47",11.49,2023-12-09
"81","12-09-2023_08:45:47",11.49,2023-12-09
"82","12-09-2023_12:45:47",11.49,2023-12-09
"83","12-09-2023_16:45:47",11.49,2023-12-09
"84","12-09-2023_20:45:47",11.49,2023-12-09
"85","12-10-2023_00:45:47",11.49,2023-12-10
"86","12-10-2023_04:45:47",11.49,2023-12-10
"87","12-10-2023_08:45:47",11.49,2023-12-10
"88","12-10-2023_12:45:47",11.74,2023-12-10
"89","12-10-2023_16:45:47",11.66,2023-12-10
"90","12-10-2023_20:45:47",11.74,2023-12-10
"91","12-11-2023_00:45:47",11.91,2023-12-11
"92","12-11-2023_04:45:47",11.82,2023-12-11
"93","12-11-2023_08:45:47",12.07,2023-12-11
"94","12-11-2023_12:45:47",11.91,2023-12-11
"95","12-11-2023_16:45:47",11.74,2023-12-11
"96","12-11-2023_20:45:47",11.74,2023-12-11
"97","12-12-2023_00:45:47",11.66,2023-12-12
"98","12-12-2023_04:45:47",11.66,2023-12-12
"99","12-12-2023_08:45:47",11.49,2023-12-12
"100","12-12-2023_12:45:47",11.49,2023-12-12
"101","12-12-2023_16:45:47",11.49,2023-12-12
"102","12-12-2023_20:45:47",11.49,2023-12-12
"103","12-13-2023_00:45:47",11.57,2023-12-13
"104","12-13-2023_04:45:47",11.49,2023-12-13
"105","12-13-2023_08:45:47",11.49,2023-12-13
"106","12-13-2023_12:45:47",11.49,2023-12-13
"107","12-13-2023_16:45:47",11.49,2023-12-13
"108","12-13-2023_20:45:47",11.49,2023-12-13
"109","12-14-2023_00:45:47",11.49,2023-12-14
"110","12-14-2023_04:45:47",11.32,2023-12-14
"111","12-14-2023_08:45:47",11.32,2023-12-14
"112","12-14-2023_12:45:47",11.24,2023-12-14
"113","12-14-2023_16:45:47",11.24,2023-12-14
"114","12-14-2023_20:45:47",11.24,2023-12-14
"115","12-15-2023_00:45:47",11.07,2023-12-15
"116","12-15-2023_04:45:47",10.99,2023-12-15
"117","12-15-2023_08:45:47",10.99,2023-12-15
"118","12-15-2023_12:45:47",10.9,2023-12-15
"119","12-15-2023_16:45:47",10.99,2023-12-15
"120","12-15-2023_20:45:47",10.9,2023-12-15
"121","12-16-2023_00:45:47",10.99,2023-12-16
"122","12-16-2023_04:45:47",10.99,2023-12-16
"123","12-16-2023_08:45:47",10.9,2023-12-16
"124","12-16-2023_12:45:47",10.99,2023-12-16
"125","12-16-2023_16:45:47",10.99,2023-12-16
"126","12-16-2023_20:45:47",10.99,2023-12-16
"127","12-17-2023_00:45:47",10.99,2023-12-17
"128","12-17-2023_04:45:47",10.99,2023-12-17
"129","12-17-2023_08:45:47",10.9,2023-12-17
"130","12-17-2023_12:45:47",10.99,2023-12-17
"131","12-17-2023_16:45:47",10.99,2023-12-17
"132","12-17-2023_20:45:47",10.99,2023-12-17
"133","12-18-2023_00:45:47",11.07,2023-12-18
"134","12-18-2023_04:45:47",11.16,2023-12-18
"135","12-18-2023_08:45:47",11.24,2023-12-18
"136","12-18-2023_12:45:47",11.16,2023-12-18
"137","12-18-2023_16:45:47",11.16,2023-12-18
"138","12-18-2023_20:45:47",11.16,2023-12-18
"139","12-19-2023_00:45:47",11.16,2023-12-19
"140","12-19-2023_04:45:47",11.16,2023-12-19
"141","12-19-2023_08:45:48",11.07,2023-12-19
"142","12-19-2023_12:45:48",10.99,2023-12-19
"143","12-19-2023_16:45:48",10.9,2023-12-19
"144","12-19-2023_20:45:48",10.9,2023-12-19
"145","12-20-2023_00:45:48",10.82,2023-12-20
"146","12-20-2023_04:45:48",10.74,2023-12-20
"147","12-20-2023_08:45:48",10.74,2023-12-20
"148","12-20-2023_12:45:48",10.65,2023-12-20
"149","12-20-2023_16:45:48",10.57,2023-12-20
"150","12-20-2023_20:45:48",10.57,2023-12-20
"151","12-21-2023_00:45:48",10.57,2023-12-21
"152","12-21-2023_04:45:48",10.49,2023-12-21
"153","12-21-2023_08:45:48",10.4,2023-12-21
"154","12-21-2023_12:45:48",10.4,2023-12-21
"155","12-21-2023_16:45:48",10.4,2023-12-21
"156","12-21-2023_20:45:48",10.4,2023-12-21
"157","12-22-2023_00:45:48",10.32,2023-12-22
"158","12-22-2023_04:45:48",10.23,2023-12-22
"159","12-22-2023_08:45:48",10.23,2023-12-22
"160","12-22-2023_12:45:48",10.23,2023-12-22
"161","12-22-2023_16:45:48",10.23,2023-12-22
"162","12-22-2023_20:45:48",10.32,2023-12-22
"163","12-23-2023_00:45:48",10.32,2023-12-23
"164","12-23-2023_04:45:48",10.23,2023-12-23
"165","12-23-2023_08:45:48",10.23,2023-12-23
"166","12-23-2023_12:45:48",10.15,2023-12-23
"167","12-23-2023_16:45:48",10.15,2023-12-23
"168","12-23-2023_20:45:48",10.23,2023-12-23
"169","12-24-2023_00:45:48",10.23,2023-12-24
"170","12-24-2023_04:45:48",10.15,2023-12-24
"171","12-24-2023_08:45:48",10.23,2023-12-24
"172","12-24-2023_12:45:48",10.23,2023-12-24
"173","12-24-2023_16:45:48",10.15,2023-12-24
"174","12-24-2023_20:45:48",10.15,2023-12-24
"175","12-25-2023_00:45:48",10.15,2023-12-25
